Format,Title,Collections,Subjects,ISBN,Online ISBN/EISSN,DOI, Results Count,Abstract Random English,afiliacion_primer_autor,journal
Journal,Acta Biochimica et Biophysica significance,Journals,Biochemistry,,1745-7270,https://academic.oup.com/abbs,5.0,A critical examination of environmental policies and their effectiveness.,University of Tokyo,ACM Transactions on Graphics
Journal,Adaptationsignificance,Journals,Arts and Humanities,,1755-0645,https://academic.oup.com/adaptation,44.0,A review of innovative methods in science teaching.,California Institute of Technology,Science Advances
Journal,Aesthetic Surgery Journalsignificance,"ASJ Journals, Journals",Cosmetic Medicine,1090-820X,1527-330X,https://academic.oup.com/asj,111.0,Research focused on scientific advances and their global impact.,University of Toronto,PLOS ONE
Journal,Aesthetic Surgery Journal Open Forumsignificance,"ASJ Journals, Journals","Cosmetic Medicine, Dermatology, Plastic and Reconstructive Surgery, Surgery",,2631-4797,https://academic.oup.com/asjopenforum,15.0,Analysis of the evolution of cybersecurity strategies.,Tsinghua University,Journal of Computer Science
Journal,African Affairssignificance,Journals,"African Studies, Regional Political Studies",0001-9909,1468-2621,https://academic.oup.com/afraf,84.0,A critical examination of environmental policies and their effectiveness.,University of Sydney,PLOS ONE
Journal,Age and Ageingsignificance,Journals,Geriatric Medicine,,1468-2834,https://academic.oup.com/ageing,181.0,This study explores the complex interactions between technology and society.,Princeton University,Nature Communications
Journal,Alcohol and Alcoholismsignificance,Journals,Public Health and Epidemiology,,1464-3502,https://academic.oup.com/alcalc,184.0,Analysis of the evolution of cybersecurity strategies.,Imperial College London,Nature Communications
Journal,American Entomologistsignificance,"ESA Publications, Journals",Entomology,1046-2821,2155-9902,https://academic.oup.com/ae,245.0,Analysis of the evolution of cybersecurity strategies.,Tsinghua University,Computers & Education
Journal,American Journal of Agricultural Economicssignificance,,"Agricultural, Environmental, and Natural Resource Economics",0002-9092,1467-8276,https://academic.oup.com/ajae,1053.0,Exploration of the relationship between social media and mental health.,University of Chicago,Science Advances
Journal,American Journal of Clinical Pathologysignificance,"ASCP Journals, Journals",Pathology,0002-9173,1943-7722,https://academic.oup.com/ajcp,225.0,Exploration of the relationship between social media and mental health.,University of Oxford,Computers & Education
