Authors,afiliacion_primer_autor,Cantidad
A. -L. Lamprecht; T. Margaria; C. McInerney,University of Melbourne,1
A. -M. Olteţeanu; Z. Falomir; C. Freksa,University of Sydney,1
A. A. Jumana; J. G. Umboh; K. I Ketut Dharma Wijaya; A. A. S. Gunawan; K. E. Saputra,University of Toronto,1
A. A. Souza; T. S. Barcelos; R. Munoz; I. F. Silveira; N. Omar; L. A. Silva,University of Cambridge,1
A. A. de Souza; T. S. Barcelos; R. Munoz; R. Villarroel; L. A. Silva,University of Sydney,1
A. Aggarwal; C. Gardner-McCune,MIT,1
A. Agudo; J. M. M. Montiel; B. Calvo; F. Moreno-Noguer,Stanford University,1
A. Ala-Kitula; K. Talvitie-Lamberg; P. Tyrväinen; M. Silvennoinen,University of Sydney,1
A. Alam,ETH Zurich,1
A. Aroonsiwagool; S. Tuntiwongwanich,University of Hong Kong,1
A. Banic; R. Gamboa,University of Chicago,1
A. Barbosa Raposo; H. P. Curasma,University of Sydney,1
A. Barrett; N. Zhang; F. Ke; J. Moon; Z. Sokolikj,Tsinghua University,1
A. Barus; I. Liem; T. Sihombing; A. Sinaga; E. Sinambela; S. Silalahi,Harvard University,1
A. Bauer; E. Butler; Z. Popović,National University of Singapore,1
A. C. M. Fong; M. Usman,Princeton University,1
A. D. F. Pérez; G. M. Valladares,California Institute of Technology,1
A. Dasgupta; S. Purzer,University of Sydney,1
A. De Oliveira Costa Junior; J. P. F. Lima e Silva; J. A. Rivera; E. B. Guedes,California Institute of Technology,1
A. De Santo; J. C. Farah; M. L. Martínez; A. Moro; K. Bergram; A. K. Purohit; P. Felber; D. Gillet; A. Holzer,Yale University,1
A. De Zeeuw; T. Craig; H. S. You,Columbia University,1
A. Dengel,University of Cambridge,1
A. E. Johnson,Yale University,1
A. Eguíluz; M. Guenaga; P. Garaizar; C. Olivares-Rodríguez,University of Melbourne,1
A. Espinal; C. Vieira; A. J. Magana,Peking University,1
A. F. Farias; D. Augusto Couto Barone,Stanford University,1
A. Funke; M. Berges; P. Hubwieser,Peking University,1
A. Gardeli; S. Vosinakis,Princeton University,1
A. Gerosa; V. Koleszar; L. Gómez-Sena; G. Tejera; A. Carboni,ETH Zurich,1
A. Gomez De Silva Garza; E. Cambria; R. Perez y Perez,Princeton University,1
A. Gonzalez-Torres; E. Ramirez-Trejos; L. Sancho-Chavarria; J. Navas-Su; C. Garita; J. Monge-Fallas,University of Hong Kong,1
A. Gonzalez-Torres; L. Sancho-Chavarria; M. Zuniga-Cespedes; J. Monge-Fallas; J. Navas-Su,Princeton University,1
A. H. Abdullah; M. A. Othman; N. Ismail; S. N. S. A. Rahman; M. Mokhtar; N. M. Zaid,MIT,1
A. Han,Columbia University,1
A. Iqbal; H. van der Heijden; M. Guid; A. Makhmali,Yale University,1
A. Isvik; V. Cateté; T. Barnes,Yale University,1
A. J. Magana; J. I. Mathur,Yale University,1
A. J. Magana; P. Marepalli; J. V. Clark,University of Tokyo,1
A. J. Moye; M. K. van Vugt,University of Toronto,1
A. Jung; J. Park; A. Ahn; M. Yun,Peking University,1
A. K. Ng; I. Atmosukarto; J. K. Lee Teo; A. B. Amran,Stanford University,1
A. K. Ng; I. Atmosukarto; W. S. Cheow; K. Avnit; M. H. Yong,Columbia University,1
A. K. Ng; R. Mahkeswaran,Harvard University,1
A. Karci,University of Cambridge,1
A. Kosorukoff,California Institute of Technology,1
A. Krakowski; E. Greenwald; M. Comstock; N. Roman; J. Duke,University of Sydney,1
A. Kumari; V. K. Garg,Harvard University,1
A. L. Graves; A. D. Light,California Institute of Technology,1
A. L. S. O. Araujo; J. S. Santos; W. L. Andrade; D. D. S. Guerrero; V. Dagienė,University of Melbourne,1
A. L. S. O. de Araujo; W. L. Andrade; D. D. Serey Guerrero,Stanford University,1
A. L. S. Oliveira; W. L. Andrade; D. D. S. Guerrero; M. R. A. Melo,Harvard University,1
A. Layne; P. DeFreitas; J. Marks; R. Lackhan,National University of Singapore,1
A. Lungeanu; S. Sullivan; U. Wilensky; N. S. Contractor,University of Cambridge,1
A. M. Laime-Choque; J. G. Mamani-Calcina; H. Cardona-Reyes; M. D. P. Ponce-Aranibar; C. G. Vera-Vasquez; S. Espinoza-Suarez,MIT,1
A. M. Seoane Pardo,Harvard University,1
A. M. d. S. Esteves; A. L. M. Santana; R. Lyra,University of Chicago,1
A. Malizia; D. Fogli; F. Danesi; T. Turchi; D. Bell,Yale University,1
A. Malizia; T. Turchi; K. A. Olsen,University of Toronto,1
A. Minamide; K. Takemata; H. Yamada,Yale University,1
A. Mohan; S. Lu; K. Zhang,University of Chicago,1
A. Muñoz del Castillo; M. A. Muñoz; L. C. Acosta Huertas; E. Herrera; J. Jimenez Toledo; D. X. Ramos,Yale University,1
A. N. A. Nuar; M. Z. A. Rozan,University of Melbourne,1
A. N. A. Nuar; M. Z. A. Rozan; M. Bahari,University of Sydney,1
A. N. Tak; J. Gratch,Imperial College London,1
A. Nandgaonkar; S. B. Mane; V. Khatavkar,University of Toronto,1
A. Ouaazki; K. Bergram; A. Holzer,Harvard University,1
A. P. Ambrósio; C. Xavier; F. Georges,Tsinghua University,1
A. Pears; M. Tedre; T. Valtonen; H. Vartiainen,Tsinghua University,1
A. Peel; J. Fulton; E. Pontelli,MIT,1
A. Q. Gates; E. Q. Villa; S. Hug; C. Convertino; J. Strobel,Imperial College London,1
A. Repenning; A. Basawapatna; N. Escherle,Stanford University,1
A. Repenning; D. C. Webb; C. Brand; F. Gluck; R. Grover; S. Miller; H. Nickerson; M. Song,California Institute of Technology,1
A. Rojas-López; F. J. García-Peñalvo,University of Cambridge,1
A. Samanta; Y. Li,Stanford University,1
A. Sanjab; W. Saad,University of Cambridge,1
A. Scaico; W. P. Ferreira; E. M. Alves; P. D. Scaico,Columbia University,1
A. Sha; A. R. Inture; J. Joseph; P. P. M. Nair; M. J. Sheeba; A. T,National University of Singapore,1
A. Takahashi; H. Shiina; N. Kobayashi,University of Cambridge,1
A. Tiwari; A. K. Singh; S. K. Pandey; R. Chaturvedi; A. Chatterjee,Princeton University,1
A. Trory,University of Sydney,1
A. V. Aho,California Institute of Technology,1
A. Xenakis; C. Xenakis; S. Psycharis; K. Kalovrektis,University of Melbourne,1
A. Xenakis; M. Avramouli; M. Sabani; I. Savvas; C. Chaikalis; K. Theodoropoulou,Stanford University,1
A. Xenakis; M. Sabani; M. Avramouli; I. Savvas; C. Chaikalis; K. Theodoropoulou,Tsinghua University,1
A. Yorita; S. Egerton; C. Chan; N. Kubota,University of Oxford,1
A. Zhang; G. Hou; Z. Wang,University of Sydney,1
Abai D.S.A.; Hamli H.,University of Sydney,1
Abdullah; Ahmad S.; Albalawi W.; Omer N.,Tsinghua University,1
"Abelson, Hal",University of Chicago,1
"Abreu, L\'{u}cia and Pires, Ana Cristina and Guerreiro, Tiago",California Institute of Technology,1
Adhikari S.; Nath S.; Sen T.; Raza R.; Sahin O.; Eftekhari-Sis B.; Mahmoudi G.; Borah P.; Verma A.K.; Safin D.A.,Harvard University,1
Adéoti O.M.; Agbla S.; Diop A.; Glèlè Kakaï R.,University of Tokyo,1
"Agbo, Friday Joseph and Oyelere, Solomon Sunday and Suhonen, Jarkko and Adewumi, Sunday",University of Melbourne,1
"Aggarwal, Ashish and Gardner-McCune, Christina and Touretzky, David S.",Columbia University,1
Ahmad D.S.N.A.; Fatah F.A.; Saili A.R.; Saili J.; Hamzah N.M.; Nor R.C.M.; Omar Z.; Ghali M.,University of Hong Kong,1
"Aho, Alfred V.",University of Melbourne,1
"Akram, Bita and Min, Wookhee and Wiebe, Eric and Mott, Bradford and Boyer, Kristy Elizabeth and Lester, James",Imperial College London,1
Al-Azzawi A.; Hussein M.K.,Tsinghua University,1
"Alegre, Fernando and Underwoood, John and Moreno, Juana and Alegre, Mario",Harvard University,1
"Allen, Meghan",University of Chicago,1
"An, Min",University of Sydney,1
"Araujo, Ana Liz Souto O. and Andrade, Wilkerson L. and Guerrero, Dalton D. Serey and Melo, Monilly Ramos Araujo",Imperial College London,1
"Armoni, Michal",University of Toronto,1
"Arndt, Nicolas and Br\""{u}ckmann, Maja",Harvard University,1
"Arnold, Ruedi and Amstalden, Barbara and Bader, J\""{o}rg",Columbia University,1
"Arslanyilmaz, Abdurrahman and Corpier, Kendra",National University of Singapore,1
"Asbell-Clarke, Jodi and Robillard, Tara and Edwards, Teon and Bardar, Erin and Weintrop, David and Grover, Shuchi and Israel, Maya",University of Toronto,1
Atasever-Arslan B.; Kaya B.; Şahin O.; Ülküseven B.,University of Chicago,1
Atipaga U.-F.; Alagidede I.; Tweneboah G.,Harvard University,1
Author 0,University of Tokyo,1
Author 1,California Institute of Technology,1
Author 10,Yale University,1
Author 100,University of Hong Kong,1
Author 101,MIT,1
Author 102,University of Oxford,1
Author 103,University of Melbourne,1
Author 104,University of Oxford,1
Author 105,University of Sydney,1
Author 106,University of Cambridge,1
Author 107,University of Sydney,1
Author 108,Peking University,1
Author 109,University of Tokyo,1
Author 11,Harvard University,1
Author 110,Tsinghua University,1
Author 111,National University of Singapore,1
Author 112,National University of Singapore,1
Author 113,Princeton University,1
Author 114,Harvard University,1
Author 115,University of Tokyo,1
Author 116,National University of Singapore,1
Author 117,University of Tokyo,1
Author 118,National University of Singapore,1
Author 119,Princeton University,1
Author 12,Princeton University,1
Author 120,Columbia University,1
Author 121,Imperial College London,1
Author 122,University of Chicago,1
Author 123,Imperial College London,1
Author 124,California Institute of Technology,1
Author 125,University of Chicago,1
Author 126,Princeton University,1
Author 127,University of Melbourne,1
Author 128,University of Sydney,1
Author 129,University of Toronto,1
Author 13,University of Melbourne,1
Author 130,National University of Singapore,1
Author 131,Imperial College London,1
Author 132,University of Melbourne,1
Author 133,University of Oxford,1
Author 134,Tsinghua University,1
Author 135,ETH Zurich,1
Author 136,University of Cambridge,1
Author 137,Stanford University,1
Author 138,University of Tokyo,1
Author 139,Columbia University,1
Author 14,University of Hong Kong,1
Author 140,MIT,1
Author 141,National University of Singapore,1
Author 142,Peking University,1
Author 143,University of Cambridge,1
Author 144,Harvard University,1
Author 145,University of Cambridge,1
Author 146,Tsinghua University,1
Author 147,University of Hong Kong,1
Author 148,University of Hong Kong,1
Author 149,California Institute of Technology,1
Author 15,Peking University,1
Author 150,Imperial College London,1
Author 151,University of Hong Kong,1
Author 152,Tsinghua University,1
Author 153,Imperial College London,1
Author 154,Princeton University,1
Author 155,California Institute of Technology,1
Author 156,Tsinghua University,1
Author 157,Peking University,1
Author 158,Harvard University,1
Author 159,University of Tokyo,1
Author 16,University of Chicago,1
Author 160,Stanford University,1
Author 161,Tsinghua University,1
Author 162,University of Hong Kong,1
Author 163,Princeton University,1
Author 164,Peking University,1
Author 165,University of Chicago,1
Author 166,National University of Singapore,1
Author 167,California Institute of Technology,1
Author 168,National University of Singapore,1
Author 169,Yale University,1
Author 17,University of Hong Kong,1
Author 170,Columbia University,1
Author 171,University of Melbourne,1
Author 172,Imperial College London,1
Author 173,University of Oxford,1
Author 174,University of Cambridge,1
Author 175,Columbia University,1
Author 176,Yale University,1
Author 177,ETH Zurich,1
Author 178,Harvard University,1
Author 179,University of Cambridge,1
Author 18,National University of Singapore,1
Author 180,Stanford University,1
Author 181,ETH Zurich,1
Author 182,Columbia University,1
Author 183,Princeton University,1
Author 184,National University of Singapore,1
Author 185,University of Tokyo,1
Author 186,University of Cambridge,1
Author 187,Tsinghua University,1
Author 188,University of Chicago,1
