Author,Count
P. J. Denning; M. Tedre,17
R. Vinayakumar; K. Soman; P. Menon,7
R. A. Fiorini,5
Y. Wang,5
B. Khayut; L. Fabri; M. Avikhana,3
"Lehtim\""{a}ki, Taina and Monahan, Rosemary and Mooney, Aidan and Casey, Kevin and Naughton, Thomas J.",3
M. Altaher; A. Ferchichi,3
"Bao, Yeting and Hosseini, Hadi",2
C. -K. Chang,2
C. -S. Lee,2
C. -S. Lee; K. D. Wong,2
C. Araújo; P. R. Henriques; J. J. Cerqueira,2
CACM Staff,2
"Corradini, Isabella and Lodi, Michael and Nardelli, Enrico",2
"Dragon, Tom\'{a}\v{s}",2
