Title,citations
Biological Journal of the Linnean Societysignificance,249.0
Mutagenesissignificance,249.0
BJR|Artificial Intelligencesignificance,248.0
Human Reproduction Opensignificance,248.0
Journal of Petrologysignificance,248.0
Journal of the International Commission on Radiation Units and Measurementssignificance,248.0
The Economic Journalsignificance,248.0
"""Look at Our Smart Shoe"" - a Scalable Online Concept for Introducing Design as Part of Computational Thinking in Grades 1-6",248.0
How Many Abilities Can We Measure in Computational Thinking? A Study on Bebras Challenge,248.0
Computational Thinking on Mathematical Problem-Solving: Bibliometric Theme and Aspect,247.0
Modern British Historysignificance,246.0
The Journal of Applied Laboratory Medicinesignificance,246.0
European Heart Journal - Cardiovascular Imagingsignificance,245.0
German Historysignificance,245.0
The American Journal of Comparative Lawsignificance,245.0
