Authors,Title,Year,ISBN,Publisher,Address,URL,DOI,Abstract,Document Type,afiliacion_primer_autor,journal
"Pasterk, Stefan and Benke, Gertraud",Computational Thinking for Self-Regulated Learning,2024,9798400706004.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3649217.3653565,10.1145/3649217.3653565,"In this theoretical paper, we compare computational thinking and self-regulated learning. Many studies use self-regulated learning to foster the acquisition of computational thinking competencies. Self-regulated learning skills are themselves beneficial for any learning process; here, we argue that the relationship between self-regulated learning and computational thinking is closer than the simple observation that self-regulated learning strategies support the acquisition of computational thinking competencies. We sustain that self-regulated learning and computational thinking competencies share many features (and have some differences), which would support synergistic effects so that not only can self-regulated learning be used to attain computational thinking competencies, but computational thinking activities can also be used to foster features of self-regulated learning competencies.",Research Article,Harvard University,Journal of Computer Science
"Gerini, Lorenzo and Delzanno, Giorgio and Guerrini, Giovanna and Solari, Fabio and Chessa, Manuela",Gamified Virtual Reality for Computational Thinking,2023,9798400703737.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3617553.3617886,10.1145/3617553.3617886,"In Computer Science Education, coding activities are extremely important to teach younger students the basics of programming and computational thinking. To provide an immersive experience, in this paper, we propose VRCoding, a Virtual Reality (VR)-based block coding system. VRCoding can teach computational thinking in an immersive Virtual Reality environment, exploiting passive haptics to improve interaction and give tactile feedback to the users. Passive haptics is obtained using simple physics placeholders, i.e., textured parallelepipeds, that are tracked in real-time, and aligned with the coding blocks in VR.  
The system is tested on a group of secondary school users, performing simple coding exercises with a standard monitor-based block coding environment and with the proposed VRCoding block language. Results show positive feedback concerning the sense of presence and the user experience.",Case Study,National University of Singapore,Nature Communications
"Garcia, Dan and Garcha, Sonia and Mukund, Madhavan and Shah, Vipul",Best Practices for Developing Computational Thinking,2023,9798400703744.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3617650.3624926,10.1145/3617650.3624926,"CSforALL is an umbrella term for a movement that seeks to bring engaging, culturally-relevant, and meaningful computer science to all students. It includes many avenues for learning – after-school outreach activities, once-a-year ''Hour of Code'' activities as well as formalized instruction in classes, led by an inspiring and well-prepared teacher. There is a perennial need to support pre-service and in-service teachers with curricula and pedagogical content knowledge (PCK) so they can be successful in the classroom, but where to start?Jeannette Wing has long evangelized computational thinking (CT) as a skill ''for everyone, everywhere. Computational thinking will be a reality when it is so integral to human endeavors it disappears as an explicit philosophy''. [2] We have found that CT offers a remarkable foundation of engagement, intuition, and grounding upon which to build higher-level computer science fluency. This panel brings together four seasoned experts who have collectively provided computer science and CT professional development to a vast multitude of teachers and students to share their best practices.",Research Article,California Institute of Technology,Computers & Education
"Tedre, Matti",Computational Thinking 2.0,2022,9781450398534.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3556787.3556788,10.1145/3556787.3556788,"Machine learning (ML) has triggered major changes across a great number of computing fields. People’s lives today are full of ML-driven services: eerily accurate recommendations, ability to automatically tag one’s friends in photos, and well working translation systems, for example. This keynote talk presents how ML technology upends the computational thinking (CT) consensus in computing education. It begins by presenting why and how a number of classical “CT1.0” concepts need to be re-thought for the “CT2.0” (machine learning) era, from control structures and problem-solving workflow, to correctness and notional machines. Based on a series of classroom interventions on teaching machine learning to middle schoolers, conducted by DIGS RC at University of Eastern Finland, the talk also presents how classroom pedagogy shifts between CT1.0 and CT2.0.",Review Paper,Stanford University,Journal of Machine Learning Research
"Bellino, Alessio",Demo: Teaching computational thinking with Protobject,2023,9798400708060.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3605390.3610815,10.1145/3605390.3610815,"In today’s rapidly changing world, computational thinking is becoming increasingly essential. However, many people, including middle and high school students, face obstacles when learning to code, such as a lack of motivation and engagement. To address this challenge, we present Protobject, an accessible tool that teaches programming in a unique and interactive way. Protobject allows people to explore programming concepts through hands-on physical computing, providing a more engaging and motivating learning experience. In this demonstration, we invite conference attendees to delve into the features of Protobject and witness its potential for enhancing programming education. Participants will have the chance to interact with the tool’s user-friendly interface and explore a range of 22 interactive learning activities that offer different levels of difficulty.",Technical Report,Imperial College London,PLOS ONE
"Susanti, Reni Dwi and Lukito, Agung and Ekawati, Rooselyna",Computational Thinking on Mathematical Problem-Solving: Bibliometric Theme and Aspect,2024,9798400717611.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3678726.3678748,10.1145/3678726.3678748,"This study aims to investigate current trends and key elements of computational thinking in problem-solving within mathematics education. A systematic literature review was conducted using the 2013-2013 Scopus database, focusing on the keyword ""computational thinking in mathematics education"" for document collection. Data analysis was visualized using R-studio software. The thematic analysis revealed two major fields that extensively research computational thinking: education and engineering. Additionally, six research themes emerged from the analysis, including Mathematics, Computer Science, programming, STEM, robotics, and engineering. Key aspects for identifying computational thinking in solving mathematical problems encompass problem identification, decomposition, pattern recognition, abstraction, algorithms, and debugging.",Technical Report,Princeton University,Computers & Education
"Lehtim\""{a}ki, Taina and Monahan, Rosemary and Mooney, Aidan and Casey, Kevin and Naughton, Thomas J.",Computational Thinking Resources Inspired by Bebras,2023,9798400701399.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3587103.3594203,10.1145/3587103.3594203,"In this poster, we highlight computational thinking resources for schools from the PACT team at Maynooth University, Ireland. The resources are derived from tasks from the Bebras international computational thinking initiative. The different modalities work together throughout the school year to provide initial exposure to computational thinking, and include an obstacle course, seasonal tasks, and a workbook.",Research Article,University of Cambridge,Journal of Computer Science
"Castle, Sarah D.",Embracing Mathematical Conjecture Through Coding and Computational Thinking,2024,9798400704246.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3626253.3635561,10.1145/3626253.3635561,"Mathematics and computer science education have an intertwined history as proof undergirds both disciplines. This initial instrumental case study follows 16 different computational science students through a series of 8 linear algebra modules. Thematic analysis was used to highlight that when students learn mathematics through computation, opportunities for conjecture can be fostered alongside computational thinking.",Technical Report,California Institute of Technology,ACM Transactions on Graphics
"Espinal, Alejandro and Vieira, Camilo and Magana, Alejandra J.",Professional Development in Computational Thinking: A Systematic Literature Review,2024,,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3648477,10.1145/3648477,"This paper presents a systematic literature review of professional development programs in computational thinking (CT). CT has emerged as an essential set of skills that everyone should develop to participate in a global society. However, there were no pre-service or in-service teacher programs to integrate CT into the K–12 classrooms until very recently. Thus, it is important to identify how educators and researchers address the challenges to prepare the next generation of students and what gaps persist in the current literature. We review existing work in this field from two perspectives: First, we analyze the learning outcomes, assessment methods, pedagogical approaches, and pedagogical tools used in the professional development programs in CT. Second, we examine how these programs assess the teachers’ knowledge and skills as outcomes. We used the technological pedagogical and content knowledge (TPACK) framework to characterize existing literature and identify possible gaps in the preparation of pre-service and in-service teachers in CT. Our results suggest that (1) existing evidence is limited to developed countries; (2) many studies are only focusing on teachers understanding the concepts but do not explore how the participants evaluate or create learning activities; (3) no studies look into classroom observations as part of the program, which limits our understanding to how these programs work; and (4) most programs use block-based programming languages as the tool to develop student CT. While block-based programming languages are used for introductory training programs, students are often expected to transfer their learning to more professional programming languages.",Short Communication,National University of Singapore,Journal of Machine Learning Research
"McCall, Lauren and Allen, Brittney and Freeman, Jason and Garrett, Stephen and Grossman, Sabrina and Paz, Jed and Edwards, Doug and McKlin, Tom and Lee, Taneisha",Developing Computational Thinking in Middle School Music Technology Classrooms,2024,9798400704246.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3626253.3635527,10.1145/3626253.3635527,"To engage diverse populations of students who may not self-select into computing courses, a curriculum for a middle school music technology + computer science course that addresses learning standards for both subjects was developed and deployed. Students who engage with the curriculum learn modern music production techniques and computational thinking concepts. This is through a mix of traditional approaches to music technology education (digital audio workstations) and computational approaches via a culturally relevant learning platform that introduces students to coding through music production and remixing. This poster reflects on the last two years of curriculum design and deployment, teacher training, and student and educator engagement and feedback to provide insight into the teaching (and learning) of computational thinking in the music technology classroom.",Review Paper,University of Cambridge,Computers & Education
