Journal,Title,Cantidad
ACM Transactions on Graphics,4 COMPUTER SCIENCE,1
ACM Transactions on Graphics,A Comprehensive Analysis and Assessment of Vitamin D with Inflammatory Biomarkers Levels Among Acute COVID-19 Infected Patients; [تحليل وتقييم مستويات فيتامين د والمؤشرات الحيوية للالتهابات بين المرضى المصابين بعدوى كوفيد- 19 الحادة],1
ACM Transactions on Graphics,A Computational System of Psycholinguistic Fuzzy Inference Under Uncertainty,1
ACM Transactions on Graphics,A Digital Game-Based Model for Assessing Computational Thinking Skills,1
ACM Transactions on Graphics,A Framework for Decomposition in Computational Thinking,1
ACM Transactions on Graphics,A Model for Infusing Computational Thinking Skills at Teacher Colleges in a Developing Country,1
ACM Transactions on Graphics,"A Tangible, Story-Construction Process Employing Spatial, Computational-Thinking",1
ACM Transactions on Graphics,A compartmental model for the dynamic simulation of pandemics with a multi-phase vaccination and its application to Italian COVID-19 data,1
ACM Transactions on Graphics,A new perspective on computational thinking,1
ACM Transactions on Graphics,A preliminary study on interdisciplinary programming learning based on cloud computing low-code development platform,1
ACM Transactions on Graphics,Acta Biochimica et Biophysica significance,1
ACM Transactions on Graphics,Advancement in SARS-CoV-2 diagnosis: A new and stable electrochemical biosensor for genomic RNA detection,1
ACM Transactions on Graphics,AlgoThink: An Algorithmic Computational Thinking Approach,1
ACM Transactions on Graphics,Algorithmic Expressions for Assessing Algorithmic Thinking Ability of Elementary School Children,1
ACM Transactions on Graphics,An Educational Game to Promote the Development of Computational Thinking in Children Both Neurotypical and with Intellectual Disabilities,1
ACM Transactions on Graphics,An Intelligent Pedagogical Agent to Foster Computational Thinking in Open-Ended Game Design Activities,1
ACM Transactions on Graphics,An Interactive Picture Storybook Scheme for Lower-Grade Elementary Students to Learn Music and Computational Thinking,1
ACM Transactions on Graphics,An empirical study on designing STEM + AI teaching to cultivate primary school students ' computational thinking perspective,1
ACM Transactions on Graphics,Analyzing the Learning Process in Online Educational Game Design: A Case Study,1
ACM Transactions on Graphics,Applying a Blended Board Game System with Robotic Arm for Training Computational Thinking: Learning through Human-Machine Competition,1
ACM Transactions on Graphics,Archives of Clinical Neuropsychologysignificance,1
ACM Transactions on Graphics,Assessing Computational Thinking in Students' Game Designs,1
ACM Transactions on Graphics,Assessing Middle School Students' Computational Thinking Through Programming Trajectory Analysis,1
ACM Transactions on Graphics,Assessing implicit computational thinking in zoombinis gameplay,1
ACM Transactions on Graphics,Assessments for Computational Thinking in K-12 (Abstract Only),1
ACM Transactions on Graphics,Attractive Educational Robotics Motivates Younger Students to Learn Programming and Computational Thinking,1
ACM Transactions on Graphics,Automated Feedback in Software Engineering: Enhancing Computational Thinking Process,1
ACM Transactions on Graphics,BJR|Artificial Intelligencesignificance,1
ACM Transactions on Graphics,Beyond Programming: A Computer-Based Assessment of Computational Thinking Competency,1
ACM Transactions on Graphics,Bioinformaticssignificance,1
ACM Transactions on Graphics,"Blended Learning of ""Data Structure"" Course Based on Computational Thinking",1
ACM Transactions on Graphics,Block-oriented programming with tangibles: An engaging way to learn computational thinking skills,1
ACM Transactions on Graphics,Botanical Journal of the Linnean Societysignificance,1
ACM Transactions on Graphics,Brain Communicationssignificance,1
ACM Transactions on Graphics,Braingene: Computational creativity algorithm that invents novel interesting names,1
ACM Transactions on Graphics,British Journal of Radiologysignificance,1
ACM Transactions on Graphics,Bulletin of the Chemical Society of Japansignificance,1
ACM Transactions on Graphics,CT-Blocks Analyser: Analysing CT-Blocks Projects,1
ACM Transactions on Graphics,Calculation of the Hubble Universe Expansion Constant by Analyzing Observational Data: An Exploratory Teaching Proposal based on STEM Epistemology,1
ACM Transactions on Graphics,Can embodied interaction and virtual peer customization in a virtual programming environment enhance computational thinking?,1
ACM Transactions on Graphics,Centering the Identities of Girls of Color in Computational Thinking Programs,1
ACM Transactions on Graphics,"Champion, Collaborator, Curator, Anchor: Supporting K-12 Teachers to Integrate Computational Thinking",1
ACM Transactions on Graphics,Chinese Journal of International Lawsignificance,1
ACM Transactions on Graphics,Classical Secondary Control Techniques in Microgrid Systems – A Review,1
ACM Transactions on Graphics,Clean Energysignificance,1
ACM Transactions on Graphics,CoTinker - A Toolkit for Supporting Computational Thinking and Collaboration in High School Education.,1
ACM Transactions on Graphics,CoTinker: Designing a Cross-device Collaboration Tool to Support Computational Thinking in Remote Group Work in High School Biology,1
ACM Transactions on Graphics,Comparison of the learning curve and adaptive behavior from kids to adults using computational thinking with Block-Programming to Technology Enhanced Learning,1
ACM Transactions on Graphics,Complexity of Bayesian belief exchange over a network,1
ACM Transactions on Graphics,Computational Creativity by Generative Adversial Network with Leaked Information,1
ACM Transactions on Graphics,Computational Thinking Between Philosophy and STEM—Programming Decision Making Applied to the Behavior of “Moral Machines” in Ethical Values Classroom,1
ACM Transactions on Graphics,Computational Thinking Meets Design Thinking: Technology and Arts Collaborations,1
ACM Transactions on Graphics,Computational Thinking and Academic Achievement: The Mediator Roles of Problem-solving Ability and Learning Anxiety,1
ACM Transactions on Graphics,Computational Thinking for Digital Culture Development: discussions based on a practical experience,1
ACM Transactions on Graphics,Computational Treatments to Recover Erased Heritage: A Legacy of Slavery Case Study (CT-LoS),1
ACM Transactions on Graphics,Computational thinking and mental models: From kodu to calypso,1
ACM Transactions on Graphics,Computational thinking as an emergent learning trajectory of mathematics,1
