Title,Authors,Year,Abstract,DOI,Publisher,citations,source,Keywords,product type,afiliacion_primer_autor,Journal
"On Computational Tools, Computational Thinking and Computational Methods",X. Zhang; H. Zou,2009,"The appearance and innovation of computational tools depends on human thinking and initiative, and on the other hand, human thinking is affected by computational tools. The strong function of computational tools in some aspect is superior to that of human brains. It is the application of such strong function that changes the face of human society. At the same time, it presents new methods for scientific research and new perspective for solving problems, promotes human thinking to a higher level, and presents new means for people to understand and change the world. The advantage of computational tools over human brains is the speed, while the initiative ability of human brains is not owned by computational tools. Perfect combination of thinking and computing gives birth to a series of achievements, and lays the foundation of science.",10.1109/ETCS.2009.120,IEEE,3.0,IEEE,computational tools;computational thinking;computational methods,IEEE Conferences,Chile,Computers & Education
The Teaching Mode and Practice Analysis of College Computer Basic Course Based on Computational Thinking,C. Xue; W. Zhun,2020,"This paper mainly adopts the theory with practice, combines the computational thinking method with education and teaching, and constructs the inquiry teaching model based on computational thinking. We adopt the formal teaching model and learning model, incremental expression of computational thinking ability to improve the effect, from the computational thinking of automation, abstract characteristics of the teaching and learning model based on computational thinking formalization. Then, in the case study, the learning support technology scheme of MOOC course platform combining mobile terminal and HTML5 is designed. Through teaching practice and quantitative analysis of experimental behavior, the platform effectively avoids the interference of programming language code, which simplifies the expression and application process of algorithm thinking, and enhances students' interest and operation of programming working ability.",10.1109/ICICTA51737.2020.00063,IEEE,1.0,IEEE,computational thinking;practice analysis;computer basic teaching;HTML;MOOC,IEEE Conferences,Brazil,Journal of Machine Learning Research
"Integrating Mathematical Thinking, Abstract Thinking, and Computational Thinking",K. McMaster; B. Rague; N. Anderson,2010,"In recent years, several groups of Computer Science educators have made a sustained effort to capture the essence of CS apart from programming. Three of these approaches are Mathematical Thinking, Abstract Thinking, and Computational Thinking. Each approach tries to clarify areas of CS that are not directly tied to writing computer programs. In a separate line of research, the current authors have been examining different ways to teach mathematics to CS students. We developed a Computational Math scale that measures the level of problem-solving gestalt exhibited by textbook authors. In this study, we relate our Computational Math framework to current research on Mathematical, Abstract, and Computational (MAC) Thinking. We counted words used frequently in research articles and compared them to words that form the Computational Math scale. Our results suggest an overall MAC Thinking framework that integrates a wide range of topics relevant to computing and programming.",10.1109/FIE.2010.5673139,IEEE,10.0,IEEE,Abstraction;Algorithm;Computational Math;Model;Thinking,IEEE Conferences,Brazil,Science Advances
Promoting Computational Thinking Skills Through Game-Based Learning of Students in Lower Secondary School,S. Saenboonsong; A. Poonsawad,2024,"This study's objectives were to: 1) compare computational thinking skills before and after game-based learning activities; and 2) study students' satisfaction after game-based learning. The research methodology uses the ADDIE model by driving game-based learning activities and promoting students with computational thinking skills, including decomposition, pattern recognition, abstraction, and algorithm design. The statistical methods used to analyze the data were mean, standard deviation, and t-test. The study's findings revealed that 1) the students' computational thinking skills improved significantly after engaging in game-based learning activities, demonstrating statistical significance at the.05 level, and 2) the overall students' satisfaction after activities with game-based learning was averaged at the highest level (= 4.75, S.D. = 0.52).",10.1109/iSTEM-Ed62750.2024.10663178,IEEE,0.0,IEEE,computational thinking skills;game-based learning;learning activity,IEEE Conferences,UK,Science Advances
Bringing Computational Thinking Skills Into Physics Classroom Through Project-Based Learning,R. D. Handayani; A. D. Lesmono; S. B. Prastowo; B. Supriadi; N. M. Dewi,2022,"Computational thinking is a fundamental thinking skill for students in the 21st-century learning era. This study aims to integrate computational thinking skills in physics through project-based learning. Data were gathered through observation, interviews, and portfolio documents. The results indicated three main categories of computational thinking: decomposition, abstraction, and simulation. The implementation of project-based learning can develop students’ computational thinking skills. Students are trained to solve physics problems analytically and precisely in structured and logical thinking through a project. This research is expected to be the information for physics teachers to integrate computational thinking in the classroom as a 21st-century learning skill.",10.1109/ICET56879.2022.9990631,IEEE,3.0,IEEE,computational thinking;physics classroom;project-based learning,IEEE Conferences,UK,Nature Communications
Hot Spots and Trends of Computational Thinking Research in China CiteSpace visualization and analysis based on CNKI data,Y. Wang; L. Xu,2023,"With the rapid development of computer technology, computational thinking, as one of the core literacy elements of information technology majors, has been widely noticed, and at the same time, it has gradually become one of the core competencies cultivated by education and teaching. This paper uses CiteSpace to visualize and analyze the Chinese core papers related to computational thinking included in CNKI. By studying the current situation of domestic research on computational thinking and related hot keywords, it aims to explore the prospects for the application of computational thinking in secondary education, try to incorporate the educational model of C elements in STEM education, and provide research ideas for the cultivation of computational thinking ability of secondary students.",10.1109/ITME60234.2023.00042,IEEE,0.0,IEEE,computational thinking;information technology;STEM education;vocational secondary education;CiteSpace,IEEE Conferences,India,ACM Transactions on Graphics
An Empirical Study on Blended Learning to Promote the Development of Computational Thinking Ability of College Students,L. Liao; J. Liang,2017,"Studies have shown that learning approaches are able to promote the developments of computational thinking on students, including cooperative learning, project-based learning, online communication, Academic dialogue etc. Therefore, these learning approaches can combine with the traditional teaching in a more effective way. Blended learning may promote the developments of computational thinking on students. The paper takes the junior College students as the experimental objects, and carries a pretest-posttest study through unequal experimental and control groups. It approved that blended learning has a positive impact on the college student's computational thinking, i.e., they have an obvious progress.",10.1109/ISET.2017.64,IEEE,3.0,IEEE,Blended learning;Computational thinking;Computational thinking trend;Skills of computational thinking,IEEE Conferences,Japan,Science Advances
Real Time Assessment of Computational Thinking,K. H. Koh; A. Basawapatna; H. Nickerson; A. Repenning,2014,"This paper suggests a Cyberlearning tool based on a highly innovative assessment methodology that helps teachers with computer science education. Currently, there is a strong push to integrate aspects of programming and coding into the classroom environment. However, few if any tools exist that enable real-time formative assessment of in-class programming tasks. The proposed REACT (Real Time Evaluation and Assessment of Computational Thinking) system is a first step toward allowing teachers to see which high-level concepts students have mastered and which ones they are struggling with as students code in real time. REACT supports and facilitates the teaching of 21st century computing skills such as computational thinking [1] in the classroom environment.",10.1109/VLHCC.2014.6883021,IEEE,28.0,IEEE,Computational Thinking;Online Assessment;Real Time Assessment;Computational Thinking Pattern;Computational Thinking Pattern Analysis,IEEE Conferences,Australia,ACM Transactions on Graphics
Construction and Application of a Computational Thinking Assessment Framework from the Perspective of the Iceberg Model,X. Zhou; W. Zhang; S. Wang; H. Chen,2023,"Computational thinking assessment is an important part of testing the effectiveness of computational thinking cultivation. However, the existing computational thinking assessments still suffer from the problem of insufficient examination of non-cognitive factors, leading to the lack of validity of its assessment results. Since the iceberg model can comprehensively and deeply explore individual characteristics, this paper draws on the division idea of the model and divides computational thinking into explicit computational thinking the basic knowledge required to solve problems using computational thinking and implicit computational thinking the internal psychological characteristics of individuals in the process of using computational thinking. A comprehensive assessment framework of computational thinking is constructed, which contains five dimensions: knowledge and skills, self-efficacy, internet attitude, learning motivation, and thinking style. Finally, its application in the hierarchical teaching of computational thinking and suggestions for personalized teaching programs are given in order to promote the development of personalized education in computational thinking.",10.1109/WAIE60568.2023.00025,IEEE,0.0,IEEE,computational thinking;computational thinking assessment;iceberg model;assessment framework;computational thinking education,IEEE Conferences,Mexico,Journal of Machine Learning Research
Improving learning of computational thinking using creative thinking exercises in CS-1 computer science courses,L. D. Miller; L. -K. Soh; V. Chiriacescu; E. Ingraham; D. F. Shell; S. Ramsay; M. P. Hazley,2013,"Promoting computational thinking is one of the top priorities in CS education as well as in other STEM and non-STEM disciplines. Our innovative NSF-funded IC2Think project blends computational thinking with creative thinking so that students leverage their creative thinking skills to “unlock” their understanding of computational thinking. In Fall 2012, we deployed creative exercises designed to engage Epstein's creative competencies (Surrounding, Capturing, Challenging and Broadening) in introductory level CS courses targeting four different groups (CS, engineering, combined CS/physical sciences, and humanities majors). Students combined hands-on problem solving with guided analysis and reflection to connect their creative activities to CS topics such as conditionals and arrays and to real-world CS applications. Evaluation results (approximately 150 students) found that creative thinking exercise completion had a linear “dosage” effect. As students completed more exercises [0/1 – 4], they increased their long-term retention [a computational thinking test], F(3, 98) = 4.76, p =.004, partial Eta2 = .127 and course grades, F(3, 109) = 4.32, p =.006, partial Eta2 = .106. These findings support our belief that the addition of creative thinking exercises to CSCE courses improves the learning of computational knowledge and skills.",10.1109/FIE.2013.6685067,IEEE,31.0,IEEE,CS1;Creative Thinking;Computational Thinking;College;Computer Science,IEEE Conferences,UK,IEEE Transactions on Software Engineering
A Study of Micro:bit Teaching Design Based on the Development of Computational Thinking of Secondary School Students,J. Liu; X. Xia; Y. Bai; P. Liu,2022,"With the rapid development of human society and technology, it's necessary for contemporary students to have the ability to quickly adapt to social development. Meanwhile, traditional educational concepts have to be transformed in time, and a full understanding of computational thinking plays an important role in promoting students' life-long development. Based on in-depth analysis and research on computational thinking theory, this paper integrates micro: bit into teaching from the perspective of practical application. After analyzing the teaching objectives, teaching contents, and teaching process, this paper proposes an instructional design for the development of computational thinking for secondary school students.",10.1109/CSTE55932.2022.00043,IEEE,1.0,IEEE,computational thinking;micro:bit;instructional design,IEEE Conferences,China,Nature Communications
Fostering Critical and Computational Thinking in the Field of Primary and Secondary Education in non-STEM Subjects by Using Data Sets and Applications,I. Vlahović; I. O. Biškupić,2023,"Critical and computational thinking in primary and secondary education in recent years shows growing importance in methodical approaches used in the classroom. Although many examples exist for using critical and computational thinking in STEM educational area, the social sciences i.e., non-STEM areas were somehow left out due to the relatively more difficult design of such content, especially in the part of the development of computational thinking. In that context, in this paper we present one way of using critical and computational thinking in non-STEM education, more specifically on the example of historical data sources, through the use of programming in Python. As an example, we use historical data for Trans-Atlantic Slave Trade routes, that were the largest long-distance coerced movement of people in history up to the mid-nineteenth century, for connecting concepts of databases, Data Science and programming for development of critical and computational thinking in context of history science. This way of using modern approaches in classroom should give teachers and pupils a broader picture of importance of interdisciplinary education for critical and computational thinking development through STEM and non-STEM classes that give pupils novel skills needed for future labor market.",10.23919/MIPRO57284.2023.10159750,IEEE,0.0,IEEE,Critical Thinking;Computational Thinking;STEM;non-STEM;Data Science;programming;Python;history;Trans-Atlantic Slave Trade routes,IEEE Conferences,China,Computers & Education
