Title,citations
Using an Intelligent Robot to Introduce Elementary School Students to Computational Thinking and Artificial Intelligence,249.0
Elementary Students' Understanding of Variables in Computational Thinking-Integrated Instruction: A Mixed Methods Study,249.0
Mathematical Medicine and Biology: A Journal of the IMAsignificance,248.0
Screensignificance,248.0
Introduction to Computational Thinking: A New High School Curriculum using CodeWorld,248.0
A Framework for Decomposition in Computational Thinking,248.0
Computational Thinking Test Tool to Measure Cognitive Ability of K-12 Students,248.0
Lessons Learned From Introducing Preteens in Parent-Led Homeschooling to Computational Thinking,248.0
"Qu\'{\i}-Bot-H2O Challenge: Integration of computational thinking with chemical experimentation in early ages including gender, inclusive and diversity patterns",248.0
Nephrology Dialysis Transplantationsignificance,247.0
International Journal of Public Opinion Researchsignificance,246.0
The British Journal for the Philosophy of Sciencesignificance,246.0
Computational thinking with the web crowd using CodeMapper,246.0
AoB PLANTSsignificance,245.0
European Heart Journal - Quality of Care and Clinical Outcomessignificance,245.0
