Authors,citations
"Bao, Yeting and Hosseini, Hadi",431.0
"Gonz\'{a}lez, Yen Air Caballero and Mu\~{n}oz-Repiso, Ana Garc\'{\i}a-Valc\'{a}rcel",415.0
"Corradini, Isabella and Lodi, Michael and Nardelli, Enrico",390.0
CACM Staff,377.0
"Kafura, Dennis and Bart, Austin Cory and Chowdhury, Bushra",368.0
"Munasinghe, Bhagya and Bell, Tim and Robins, Anthony",359.0
"Heintz, Fredrik and Mannila, Linda",344.0
"Torres-Torres, Yucnary-Daitiana and Rom\'{a}n-Gonz\'{a}lez, Marcos and P\'{e}rez-Gonz\'{a}lez, Juan-Carlos",311.0
"Rojas-L\'{o}pez, Arturo and Garc\'{\i}a-Pe\~{n}alvo, Francisco J.",289.0
"Jordan, Michael I.",264.0
"Montero, Calkin Suero",250.0
"Luo, Feiya and Yan, Wei and Liu, Ruohan and Israel, Maya",249.0
"Touretzky, David S.",249.0
"Alegre, Fernando and Underwoood, John and Moreno, Juana and Alegre, Mario",248.0
Author 350,248.0
