source,Authors,Cantidad
ACM,"Abelson, Hal",1
ACM,"Abreu, L\'{u}cia and Pires, Ana Cristina and Guerreiro, Tiago",1
ACM,"Agbo, Friday Joseph and Oyelere, Solomon Sunday and Suhonen, Jarkko and Adewumi, Sunday",1
ACM,"Aggarwal, Ashish and Gardner-McCune, Christina and Touretzky, David S.",1
ACM,"Aho, Alfred V.",1
ACM,"Akram, Bita and Min, Wookhee and Wiebe, Eric and Mott, Bradford and Boyer, Kristy Elizabeth and Lester, James",1
ACM,"Alegre, Fernando and Underwoood, John and Moreno, Juana and Alegre, Mario",1
ACM,"Allen, Meghan",1
ACM,"An, Min",1
ACM,"Araujo, Ana Liz Souto O. and Andrade, Wilkerson L. and Guerrero, Dalton D. Serey and Melo, Monilly Ramos Araujo",1
ACM,"Armoni, Michal",1
ACM,"Arndt, Nicolas and Br\""{u}ckmann, Maja",1
ACM,"Arnold, Ruedi and Amstalden, Barbara and Bader, J\""{o}rg",1
ACM,"Arslanyilmaz, Abdurrahman and Corpier, Kendra",1
ACM,"Asbell-Clarke, Jodi and Robillard, Tara and Edwards, Teon and Bardar, Erin and Weintrop, David and Grover, Shuchi and Israel, Maya",1
ACM,"Azhar, Mohammad Q. and Powers, Jillian and Musgrove, Ann",1
ACM,"B\""{o}ttcher, Axel and Thurner, Veronika",1
ACM,"Bakala, Ewelina and Gerosa, Anaclara and Hourcade, Juan Pablo and Pascale, Maria and Hergatacorzian, Camila and Tejera, Gonzalo",1
ACM,"Bakala, Ewelina and Hourcade, Juan Pablo and Tejera, Gonzalo",1
ACM,"Bao, Yeting and Hosseini, Hadi",2
ACM,"Barat\`{e}, Adriano and Ludovico, Luca A. and Mauro, Davide A.",1
ACM,"Barbero, Giulio and G\'{o}mez-Maureira, Marcello A. and Hermans, Felienne F.J.",1
ACM,"Barbosa, Luciana Leal da Silva and Maltempi, Marcus Vinicius",1
ACM,"Barendsen, Erik and Stoker, Idzard",1
ACM,"Barricelli, Barbara Rita and Fogli, Daniela and Gargioni, Luigi and Locoro, Angela and Valtolina, Stefano",1
ACM,"Bart, Austin Cory",1
ACM,"Basawapatna, Ashok and Koh, Kyu Han and Repenning, Alexander and Webb, David C. and Marshall, Krista Sekeres",1
ACM,"Basso, Demis and Fronza, Ilenia and Colombi, Alessandro and Pahl, Claus",1
ACM,"Basu, Satabdi and Disalvo, Betsy and Rutstein, Daisy and Xu, Yuning and Roschelle, Jeremy and Holbert, Nathan",1
ACM,"Basu, Satabdi and Rutstein, Daisy and Xu, Yuning and Shear, Linda",1
ACM,"Beason, Kara and Fenwick, James B. and Norris, Cindy",1
ACM,"Bell, Tim",1
ACM,"Bell, Tim and Duncan, Caitlin and Atlas, James",1
ACM,"Bellino, Alessio",1
ACM,"Bellino, Alessio and Herskovic, Valeria",1
