product type,Year,Cantidad
Article,2025,93
Case Study,2009,1
Case Study,2012,1
Case Study,2013,1
Case Study,2014,2
Case Study,2015,3
Case Study,2016,3
Case Study,2017,4
Case Study,2018,3
Case Study,2019,4
Case Study,2020,10
Case Study,2021,7
Case Study,2022,4
Case Study,2023,7
Case Study,2024,4
Conference Proceedings,2009,1
Conference Proceedings,2013,1
Conference Proceedings,2014,1
Conference Proceedings,2015,1
Conference Proceedings,2016,3
Conference Proceedings,2017,7
Conference Proceedings,2018,9
Conference Proceedings,2019,5
Conference Proceedings,2020,4
Conference Proceedings,2021,4
Conference Proceedings,2022,7
Conference Proceedings,2023,7
Conference Proceedings,2024,6
Editorial,2009,1
Editorial,2011,2
Editorial,2013,2
Editorial,2014,3
Editorial,2015,5
Editorial,2016,2
Editorial,2017,5
Editorial,2018,8
Editorial,2019,13
Editorial,2020,3
Editorial,2021,8
Editorial,2022,6
Editorial,2023,5
Editorial,2024,5
Editorial,2025,1
IBM Journals,2019,2
IEEE Conferences,1992,1
IEEE Conferences,1995,1
IEEE Conferences,1997,1
IEEE Conferences,1998,2
IEEE Conferences,2001,2
IEEE Conferences,2002,1
IEEE Conferences,2003,7
IEEE Conferences,2004,6
IEEE Conferences,2005,8
IEEE Conferences,2006,5
IEEE Conferences,2007,7
IEEE Conferences,2008,19
IEEE Conferences,2009,30
IEEE Conferences,2010,31
IEEE Conferences,2011,24
IEEE Conferences,2012,15
IEEE Conferences,2013,19
IEEE Conferences,2014,24
IEEE Conferences,2015,34
IEEE Conferences,2016,39
IEEE Conferences,2017,50
IEEE Conferences,2018,71
IEEE Conferences,2019,88
IEEE Conferences,2020,65
IEEE Conferences,2021,92
IEEE Conferences,2022,88
IEEE Conferences,2023,92
IEEE Conferences,2024,47
IEEE Early Access Articles,2023,1
IEEE Early Access Articles,2024,4
IEEE Journals,2007,1
IEEE Journals,2012,1
IEEE Journals,2015,3
IEEE Journals,2016,2
IEEE Journals,2017,4
IEEE Journals,2018,8
IEEE Journals,2019,8
IEEE Journals,2020,12
IEEE Journals,2021,4
IEEE Journals,2022,8
IEEE Journals,2023,11
IEEE Journals,2024,10
IEEE Magazines,2004,1
IEEE Magazines,2006,1
IEEE Magazines,2008,1
IEEE Magazines,2009,2
IEEE Magazines,2011,1
IEEE Magazines,2012,1
IEEE Magazines,2013,1
IEEE Magazines,2014,1
IEEE Magazines,2016,1
IEEE Magazines,2017,3
IEEE Magazines,2019,1
IEEE Magazines,2020,6
IEEE Magazines,2021,2
IEEE Magazines,2023,2
IET Conferences,1996,2
Journal,2024,550
MIT Press eBook Chapters,2019,17
OUP Journals,2007,1
OUP Journals,2012,2
OUP Journals,2015,2
OUP Journals,2021,1
Research Article,2011,2
Research Article,2012,2
Research Article,2014,1
Research Article,2015,1
Research Article,2016,6
Research Article,2017,5
Research Article,2018,3
Research Article,2019,14
Research Article,2020,4
Research Article,2021,4
Research Article,2022,8
Research Article,2023,12
Research Article,2024,4
Review,2025,6
Review Paper,2011,1
Review Paper,2013,3
Review Paper,2014,3
Review Paper,2015,1
Review Paper,2016,4
Review Paper,2017,8
Review Paper,2018,8
Review Paper,2019,5
Review Paper,2020,5
Review Paper,2021,7
Review Paper,2022,6
Review Paper,2023,4
Review Paper,2024,10
Short Communication,2011,1
Short Communication,2013,1
Short Communication,2014,1
Short Communication,2015,5
Short Communication,2016,3
Short Communication,2017,5
Short Communication,2018,5
Short Communication,2019,5
Short Communication,2020,11
Short Communication,2021,7
Short Communication,2022,8
Short Communication,2023,8
Short Communication,2024,4
Technical Report,2009,1
Technical Report,2011,1
Technical Report,2014,2
Technical Report,2015,3
Technical Report,2016,5
Technical Report,2017,7
Technical Report,2018,7
Technical Report,2019,6
Technical Report,2020,6
Technical Report,2021,9
Technical Report,2022,13
Technical Report,2023,4
Technical Report,2024,7
Wiley Telecom eBook Chapters,2024,2
