Variable,Count
Construct-by-self mind mapping - CBS-MM,0
Construct-on-scaffold mind mapping - COS-MM,0
Design-based learning - CTDBL,1
Design-based learning - DBL,5
Evidence-centred design approach,0
Gamification,19
Reverse engineering pedagogy - REP,469
Technology-enhanced learning,1
Collaborative learning,17
Cooperative learning,2
Flipped classroom,14
Game-based learning,49
Inquiry-based learning,6
Personalized learning,2
Problem-based learning,8
Project-based learning,38
Universal design for learning,0
